column,dtype,missing_pct,n_unique
revol_util_num,float64,0.05,1073
revol_util,float64,0.05,1073
id,int64,0.0,44006
term,str,0.0,2
is_resolved,Int64,0.0,1
is_default,Int64,0.0,2
is_unresolved,Int64,0.0,1
loan_status_clean,str,0.0,3
issue_year,int32,0.0,1
issue_date,datetime64[us],0.0,2
int_rate_num,float64,0.0,70
revol_bal,float64,0.0,25124
open_acc,float64,0.0,56
fico_range_high,float64,0.0,38
fico_range_low,float64,0.0,38
delinq_2yrs,float64,0.0,16
dti,float64,0.0,3966
purpose,str,0.0,12
loan_status,str,0.0,3
issue_d,str,0.0,2
annual_inc,float64,0.0,4052
sub_grade,str,0.0,35
grade,str,0.0,7
installment,float64,0.0,10548
int_rate,float64,0.0,70
refi_pathway,category,0.0,3
