feature,logistic_l1_abs_coef,lasso_abs_coef,dropped_by_corr,blended_rank,selected
rate_x_term,0.5629598019052132,6.353181144917251,False,2.0,True
annual_inc_log1p,0.23029123881528155,0.1861829689157141,False,6.0,True
fico_range_low,0.2588166584776934,0.18401721415356986,False,6.0,True
annual_inc,0.19064570673223277,0.09480751598216784,False,10.0,True
revol_bal_log1p,0.11788810973084586,0.0941742721312854,False,12.0,True
revol_util_num,0.05987176959190695,0.09714512116807389,False,15.0,True
dti,0.08972583621385355,0.046947184640625465,False,16.0,True
term_months,0.022180383943359284,3.209526552888945,False,16.0,True
dti_x_revol_util,0.07545219160402802,0.04777256394251477,False,16.0,True
installment_to_monthly_income,0.09119556070529829,0.008292015536486374,False,18.0,True
open_acc,0.061658142977619956,0.015783715275261297,False,20.0,True
revol_bal,0.0424873971287382,0.02503783073730069,False,21.0,True
revol_bal_to_income,0.030295347142164523,0.007166763339968855,False,25.0,True
installment,0.02225663240176675,0.003827652112750269,False,28.0,True
delinq_2yrs,0.016140461299195233,0.005945446949838821,False,29.0,True
fico_span,0.0,0.0,False,32.0,False
fico_avg,0.0,0.0,True,,False
fico_range_high,0.0,0.0,True,,False
