hold_threshold,min_savings,consider_rate,consider_count,avg_pd_consider,avg_savings_consider
0.15,0,0.04098115465151062,137,0.12644377697509432,62.76958220826673
0.15,100,0.005982650314089142,20,0.12629419344309983,223.98112814020254
0.15,300,0.0008973975471133712,3,0.1273000336520588,420.0304352804656
0.15,500,0.0,0,,
0.2,0,0.10230332037092432,342,0.15447587239890606,76.54461624323298
0.2,100,0.017947950942267425,60,0.15701864049355976,267.4124692669977
0.2,300,0.006281782829793599,21,0.16535739817256334,422.7566926711747
0.2,500,0.0008973975471133712,3,0.1699000781670201,563.4309587287147
0.25,0,0.14866886030511517,497,0.17641871887849314,78.30767698668306
0.25,100,0.026921926413401135,90,0.17927465681957058,263.6041162748258
0.25,300,0.00927310798683817,31,0.18503687630940419,437.81981118746194
0.25,500,0.0014956625785222854,5,0.18917834244981657,589.4444195550759
0.3,0,0.21029015854023334,703,0.20603588895468794,76.77486089378291
0.3,100,0.039784624588692794,133,0.21071761446246157,249.55032839689866
0.3,300,0.011965300628178284,40,0.20599843924752076,436.33361977849654
0.3,500,0.0020939276099311995,7,0.21250200006513212,606.2655342015194
0.35,0,0.2907568052647323,972,0.23880368942510002,78.17123742529184
0.35,100,0.05803170804666467,194,0.24625735836883103,246.44719440922304
0.35,300,0.01734968591085851,58,0.241599541352492,435.0084009215405
0.35,500,0.0035895901884534847,12,0.25725419978588937,609.147765684535
