column,dtype,missing_pct,n_unique
dti_x_revol_util,float64,0.05,19583
revol_util,float64,0.035,1043
revol_util_num,float64,0.035,1043
dti,float64,0.02,3752
revol_bal_to_income,float64,0.005,19430
installment_to_monthly_income,float64,0.005,18998
revol_bal,float64,0.005,14810
revol_bal_log1p,float64,0.005,14810
installment,float64,0.005,10669
annual_inc,float64,0.005,2521
annual_inc_log1p,float64,0.005,2521
rate_x_term,float64,0.005,807
int_rate,float64,0.005,496
int_rate_num,float64,0.005,496
issue_d,str,0.005,135
issue_date,datetime64[us],0.005,135
open_acc,float64,0.005,53
fico_range_low,float64,0.005,42
fico_range_high,float64,0.005,42
fico_avg,float64,0.005,42
sub_grade,str,0.005,35
delinq_2yrs,float64,0.005,16
purpose,str,0.005,14
issue_year,float64,0.005,12
grade,str,0.005,7
loan_status,str,0.005,5
loan_status_clean,str,0.005,5
term,str,0.005,2
fico_span,float64,0.005,2
id,str,0.0,20000
refi_pathway,category,0.0,3
is_default,Int64,0.0,2
term_months,float64,0.0,2
is_unresolved,Int64,0.0,1
is_resolved,Int64,0.0,1
